Rating,URL,Ratings,Name,Latitude,Longitude,Address,LatLon 1,LatLon 2
4.5,http://m.yelp.com/biz/kang-hodong-baekjeong-los-angeles,1300,Kang Hodong Baekjeong,34.063823,-118.297268,3465 W 6th St Koreatown Los Angeles,34.0637327,-118.2972824
4.5,http://m.yelp.com/biz/genwa-korean-bbq-los-angeles-2,1629,Genwa Korean Bbq,34.062632,-118.341274,5115 Wilshire Blvd Los Angeles  CA 90036,34.0623511,-118.3411527
4.5,http://m.yelp.com/biz/hong-galbi-los-angeles,129,Hong Galbi,34.052395,-118.304474,3132 W Olympic Blvd Los Angeles  CA 90006,34.0524323,-118.3042982
4.5,http://m.yelp.com/biz/han-bat-sul-lung-tang-los-angeles,867,Han Bat Sul Lung Tang,34.065414,-118.3095703125,4163 W 5th St Los Angeles  CA 90020,34.0653391,-118.3098832
4.5,http://m.yelp.com/biz/ham-ji-park-los-angeles-2,747,Ham Ji Park,34.063757,-118.295838,3407 W 6th St Koreatown Los Angeles,34.0638434,-118.2959176
4.5,http://m.yelp.com/biz/california-gogi-korean-grill-los-angeles,141,California Gogi Korean Grill,34.017343,-118.2828057,3742 S Figueroa St Los Angeles  CA 90007,34.0170512,-118.2824448
4,http://m.yelp.com/biz/seongbukdong-los-angeles,681,Seongbukdong,NA,NA,3303 W 6th St Los Angeles  CA 90020,34.0639796,-118.2944182
4.5,http://m.yelp.com/biz/soowon-galbi-kbbq-restaurant-los-angeles-2,1592,Soowon Galbi KBBQ Restaurant,34.056766,-118.291537,856 S Vermont Ave Koreatown Los Angeles,34.0563889,-118.2913663
4.5,http://m.yelp.com/biz/tang-los-angeles-3,42,Tang,34.0503060295143,-118.241951515344,123 Astronaut Ellison S Onizuka St Little Tokyo Los Angeles,34.0501638,-118.2419086
4.5,http://m.yelp.com/biz/yang-ban-sul-lung-tang-restaurant-los-angeles,73,Yang Ban Sul Lung Tang Restaurant,NA,NA,716 E 9th Pl Los Angeles  CA 90021,34.036018,-118.250742
4,http://m.yelp.com/biz/kims-kitchen-glendale,220,Kim's Kitchen,NA,NA,1229 E Colorado St Glendale  CA 91205,34.1428003,-118.238356
4,http://m.yelp.com/biz/yu-chun-chic-naeng-myun-los-angeles-2,543,Yu Chun Chic Naeng Myun,NA,NA,3185 W Olympic Blvd Los Angeles  CA 90006,34.0528831,-118.3058503
4.5,http://m.yelp.com/biz/hangari-bajirak-kalgooksoo-los-angeles,144,Hangari Bajirak Kalgooksoo,34.0628318194103,-118.297666870058,3470 W 6th St Los Angeles  CA 90020,34.0632983,-118.2975105
4.5,http://m.yelp.com/biz/jun-won-restaurant-los-angeles,148,Jun Won Restaurant,NA,NA,3100 W 8th St Koreatown Los Angeles,34.0575692,-118.2943972
4.5,http://m.yelp.com/biz/gang-nam-tofu-los-angeles,157,Gang Nam Tofu,NA,NA,6909 Melrose Ave Los Angeles  CA 90036,34.0834431,-118.3419605
4,http://m.yelp.com/biz/a-ri-rang-tofu-house-san-gabriel,460,A Ri Rang Tofu House,NA,NA,529 E Valley Blvd San Gabriel  CA 91776,34.0804601,-118.0927989
4.5,http://m.yelp.com/biz/mirak-2-los-angeles,21,Mirak 2,34.047977,-118.29082,1101 S Vermont Ave Los Angeles  CA 90006,34.0505463,-118.2919111
4,http://m.yelp.com/biz/kobawoo-house-los-angeles,634,Kobawoo House,NA,NA,698 S Vermont Ave Koreatown Los Angeles,34.0602235,-118.2910698
4.5,http://m.yelp.com/biz/tofu-and-noodles-los-angeles-2,47,Tofu and Noodles,34.0576939,-118.2937043,3068 W 8th St Los Angeles  CA 90005,34.0577266,-118.2937828
4,http://m.yelp.com/biz/chunju-han-il-kwan-los-angeles,398,Chunju Han-il Kwan,34.0634056504966,-118.296918869019,3450 W 6th St Koreatown Los Angeles,34.0630851,-118.2970934
4.5,http://m.yelp.com/biz/yangji-gamjatang-los-angeles-2,62,Yangji Gamjatang,NA,NA,3470 W 6th St Koreatown Los Angeles,34.0632983,-118.2975105
4.5,http://m.yelp.com/biz/eight-korean-bbq-los-angeles-2,645,Eight Korean BBQ,34.056446,-118.309969,863 S Western Ave Los Angeles  CA 90005,34.0560118,-118.3099539
4,http://m.yelp.com/biz/myung-dong-kyoja-los-angeles,636,Myung Dong Kyoja,34.061335,-118.304347,3630 Wilshire Blvd Los Angeles  CA 90010,34.0613906,-118.3043603
4.5,http://m.yelp.com/biz/mitzee-cafe-glendale,52,Mitzee Cafe,NA,NA,721 S Central Ave Glendale Glendale,34.1368406,-118.2583337
4,http://m.yelp.com/biz/western-doma-noodles-los-angeles,357,Western Doma Noodles,NA,NA,429 N Western Ave Larchmont Los Angeles,34.0785555,-118.3236501
4.5,http://m.yelp.com/biz/genwa-korean-bbq-beverly-hills,157,Genwa Korean BBQ,34.0691009772034,-118.37599106133,170 N La Cienega Blvd Beverly Hills  CA 90211,34.0691644,-118.3759829
4,http://m.yelp.com/biz/cha-cha-chili-los-angeles,673,Cha Cha Chili,34.0629229631588,-118.183407918999,4625 Valley Blvd Los Angeles  CA 90032,34.0628532,-118.1832156
4,http://m.yelp.com/biz/seoul-korean-bbq-burbank,235,Seoul Korean BBQ,NA,NA,122 N San Fernando Blvd Burbank  CA 91502,34.1813094,-118.3090326
4,http://m.yelp.com/biz/yang-san-bak-los-angeles,165,Yang San Bak,NA,NA,3601 W 6th St Los Angeles  CA 90020,34.063882,-118.300739
4,http://m.yelp.com/biz/ondal-2-los-angeles,299,Ondal 2,NA,NA,4566 W Washington Blvd Los Angeles  CA 90016,34.0395779,-118.3395036
4,http://m.yelp.com/biz/hae-jang-chon-korean-bbq-restaurant-los-angeles,2151,Hae Jang Chon Korean BBQ Restaurant,34.0639032,-118.3061281,3821 W 6th St Los Angeles  CA 90020,34.0639032,-118.3061281
4,http://m.yelp.com/biz/ma-dang-gook-soo-los-angeles,367,Ma Dang Gook Soo,34.056182861328104,-118.30940246582,869 S Western Ave Koreatown Los Angeles,34.0560882,-118.3094569
4,http://m.yelp.com/biz/seoul-garden-restaurant-los-angeles,324,Seoul Garden Restaurant,34.0507689,-118.2772433,1833 W Olympic Blvd Los Angeles  CA 90006,34.0507817,-118.2772846
4.5,http://m.yelp.com/biz/pojang-korean-food-hawthorne,31,Pojang Korean Food,33.9160197,-118.3612461,,33.9160197,-118.3612461
4,http://m.yelp.com/biz/korean-kitchen-hibachi-barbeque-los-angeles,186,Korean Kitchen Hibachi Barbeque,NA,NA,135 Japanese Village Plaza Mall Los Angeles  CA 90012,34.0490294,-118.2398809
4,http://m.yelp.com/biz/dan-sung-sa-los-angeles,412,Dan Sung Sa,34.0637855529785,-118.294540405273,3317 W 6th St Los Angeles  CA 90020,34.0637794,-118.2945904
4,http://m.yelp.com/biz/mapo-kkak-doo-gee-restaurant-los-angeles,175,Mapo Kkak Doo Gee Restaurant,NA,NA,3611 W 6th St Los Angeles  CA 90020,34.0635723,-118.3006395
4,http://m.yelp.com/biz/toe-bang-cafe-los-angeles,453,Toe Bang Cafe,NA,NA,Chapman Plaza  Ste 110 Koreatown',,
4,http://m.yelp.com/biz/chung-ki-wa-los-angeles,224,Chung Ki Wa,34.0527496337891,-118.316093444824,3545 W Olympic Blvd Los Angeles  CA 90019,34.0527478,-118.3160718
4,http://m.yelp.com/biz/olympic-cheonggukjang-los-angeles,96,Olympic Cheonggukjang,NA,NA,2528 W Olympic Blvd Pico-Union Los Angeles,34.0522286,-118.2848262
4,http://m.yelp.com/biz/ay-do-no-korean-bbq-los-angeles,197,Ay-Do-No Korean BBQ,34.1017032,-118.3183528,5911 Hollywood Blvd Los Angeles  CA 90028,34.101906,-118.3184738
4,http://m.yelp.com/biz/beverly-soon-tofu-restaurant-los-angeles,745,Beverly Soon Tofu Restaurant,NA,NA,2717 W Olympic Blvd Koreatown Los Angeles,34.0530889,-118.2922708
4,http://m.yelp.com/biz/olympic-noodle-los-angeles,191,Olympic Noodle,NA,NA,4008 W Olympic Blvd Los Angeles  CA 90019,34.0537817,-118.3211016
4,http://m.yelp.com/biz/dong-ii-jang-restaurant-los-angeles,380,Dong II Jang Restaurant,NA,NA,3455 W 8th St Los Angeles  CA 90005,34.0579282,-118.3049694
3.5,http://m.yelp.com/biz/oo-kook-tofu-and-bbq-alhambra,154,Oo-kook Tofu & BBQ,34.0880658818942,-118.146896548569,2201 W Commonwealth Ave Alhambra  CA 91803,34.0881097,-118.1469393
4,http://m.yelp.com/biz/honey-pig-los-angeles,697,Honey Pig,NA,NA,3400 W 8th St Los Angeles  CA 90005,34.0574598,-118.3033254
4,http://m.yelp.com/biz/gam-ja-gol-los-angeles,159,Gam Ja Gol,NA,NA,3003 W Olympic Blvd Koreatown Los Angeles,34.0529507,-118.3006189
