Rank,Number,Congressional District,HD Index,Life Expectancy at Birth (years),Less Than High School (%),At Least High School Diploma (%),At Least Bachelor's Degree (%),Graduate Degree (%),School Enrollment (%),Median Earnings (2013 dollars),"Health
Index","Education
Index","Income
Index",Total Population,Population Under 18 (%),Population 65 and Older (%),African American Population (%),Asian American Population (%),Latino Population (%),Native American Population (%),Two or More Races or Some Other Race (%),White (%),Percent of People Who are Native Born (%),Percent of People Who are Foreign Born (%),Percent of People with a Disability (% civilian non-institutional population),Percent Uninsured (% civilian non-institutional population),Housing United Occupied by Owner (%),Housing Units Occupied by Renters (%),Renters spending 30% of income or more on housing (%),Owners spending 30% of income or more on housing (%),Owners and renters spending more than 30% of income on housing (%),Preschool enrollment ratio (% enrolled ages 3 and 4),Percent of People Below Poverty Level in the Past 12 Months (%),Children Under 18 Years Below Poverty Level in the Past 12 Months (%),People 65 Years and Over Below Poverty Level in the Past 12 Months (%),"Management, business, science, and arts occupations (%)",Service occupations (%),Sales and office occupations (%),"Farming, fishing, and forestry occupations (%)","Construction, extraction, maintenance and repair occupations (%)","Production, transportation, and material moving occupations (%)",Disconnected Youth (% 16-24)
,,UNITED STATES,5.06,79.1,13.4,86.6,29.6,11.2,77.0," 	30,454 ",5.44,5.06,4.68," 	316,128,839 ",23.3,14.1,12.3,5.0,17.1,0.7,2.5,62.4,86.9,13.1,12.6,14.5,63.5,36.5,51.5,25.5,34.6,46.1,15.8,22.2,9.6,36.3,18.4,24.2,0.7,8.2,12.2,13.8
1,618,"Congressional District 18 , California",8.18,83.7,6.8,93.2,60.0,30.1,85.6," 	55,215 ",7.38,8.36,8.80," 	731,201 ",22.8,13.9,1.5,20.0,17.0,0.1,4.7,56.7,72.4,27.6,7.6,8.2,61.2,38.8,45.8,30.0,36.0,63.9,7.3,8.5,5.7,59.3,12.2,19.2,0.4,5.0,4.1,10.0
2,3612,"Congressional District 12 , New York",8.05,82.9,7.3,92.7,69.2,30.4,73.5," 	60,953 ",7.04,7.61,9.49," 	720,538 ",11.5,14.5,4.9,13.0,13.6,0.1,2.9,65.5,74.0,26.0,7.6,9.1,26.9,73.1,45.2,22.9,39.1,73.8,12.5,13.8,12.4,64.6,10.6,20.0,0.0,2.4,2.4,10.1
3,633,"Congressional District 33 , California",7.82,81.7,4.5,95.5,61.6,26.6,88.3," 	51,271 ",6.54,8.64,8.29," 	717,954 ",19.0,16.1,2.7,13.9,12.9,0.2,4.0,66.3,76.3,23.7,8.7,8.1,47.8,52.2,50.8,37.3,44.3,80.3,10.2,9.0,8.4,60.2,10.4,22.5,0.0,2.6,4.3,9.4
4,617,"Congressional District 17 , California",7.75,83.4,8.9,91.1,54.3,25.3,82.9," 	52,493 ",7.26,7.55,8.45," 	732,118 ",22.2,11.1,2.6,51.5,15.6,0.2,3.8,26.3,53.9,46.1,7.4,8.6,54.9,45.1,42.2,29.0,34.8,57.4,7.5,8.0,8.2,57.9,11.6,17.9,0.2,4.3,8.1,8.1
5,5108,"Congressional District 8 , Virginia",7.75,83.5,9.0,91.0,61.4,31.1,77.0," 	52,003 ",7.31,7.55,8.39," 	774,396 ",21.0,10.1,14.3,11.1,18.8,0.1,3.1,52.6,72.2,27.8,6.6,13.3,52.1,47.9,42.2,24.4,32.7,55.3,7.7,10.3,7.3,56.7,15.8,17.6,0.1,5.5,4.4,12.6
6,3610,"Congressional District 10 , New York",7.64,82.2,11.5,88.5,60.6,29.2,80.6," 	52,857 ",6.76,7.67,8.50," 	716,682 ",19.5,12.7,4.1,17.9,12.1,0.2,2.0,63.8,68.3,31.7,8.1,8.2,29.9,70.1,47.3,29.6,41.9,67.6,17.0,27.9,15.0,60.7,11.4,20.3,0.0,3.2,4.4,10.1
7,3603,"Congressional District 3 , New York",7.50,81.9,7.4,92.6,52.2,24.5,85.5," 	50,160 ",6.63,7.73,8.14," 	724,490 ",22.6,18.2,3.3,14.3,10.2,0.2,1.8,70.1,77.9,22.1,9.1,6.9,80.2,19.8,58.3,36.8,40.8,62.5,5.5,6.1,5.1,50.1,13.4,26.0,0.1,5.2,5.1,8.4
8,5110,"Congressional District 10 , Virginia",7.47,82.5,7.6,92.4,53.8,22.2,82.7," 	50,003 ",6.89,7.42,8.11," 	781,947 ",27.7,9.9,6.8,12.3,12.3,0.2,4.0,64.3,80.7,19.3,7.1,9.5,76.6,23.4,48.4,22.0,27.9,56.7,4.6,5.2,3.7,53.1,12.2,22.5,0.1,5.7,6.4,8.8
9,3407,"Congressional District 7 , New Jersey",7.46,81.9,6.5,93.5,50.3,21.0,85.2," 	51,168 ",6.61,7.50,8.27," 	748,580 ",23.5,14.2,4.4,9.0,12.0,0.1,1.5,73.0,83.7,16.3,8.7,7.6,77.6,22.4,43.0,31.5,33.9,68.7,4.8,4.6,5.4,49.6,12.4,25.0,0.1,6.5,6.4,10.9
