FIPS,Year,County,"HD 
Index",Life Expectancy at Birth (years),Less Than High School (%),"At Least High School Diploma
(%)","At Least Bachelor's Degree
(%)","Graduate Degree
(%)","School Enrollment
(%)",Median Earnings (2010 dollars),"Health
Index","Education
Index","Income
Index",White not Latino Population (%),African American Population (%),Native American Population (%),Asian American Population (%),Population some other race or races (%),Latino Population (%),Children Under 6 Living in Poverty (%),Adults 65 and Older Living in Poverty (%),Total Population,Preschool Enrollment Ratio (% enrolled ages 3 and 4),Poverty Rate (% below federal poverty threshold),Gini Coefficient,Child Poverty (% living in families below the poverty line),"Management, professional, and related occupations (%)",Service occupations (%) ,Sales and office occupations (%),"Farming, fishing, and forestry occupations (%)","Construction, extraction, maintenance and repair occupations (%)","Production, transportation, and material moving occupations (%)"
…,2010,UNITED STATES,5.03,78.9,14.4,85.6,28.2,10.4,77.6," 	28,899 ",5.36,4.97,4.77,63.7,12.2,0.7,4.7,2.3,16.3,24.8,9.0," 	308,745,538 ",47.6,15.3,0.5,21.6,35.9,18.0,25.0,0.8,8.4,11.9
1001,2010,"Autauga County, Alabama",…,…,14.7,85.3,21.7,7.1,78.9," 	29,949 ",…,4.65,5.02,77.2,17.6,0.4,0.9,1.5,2.4,21.3,8.6," 	54,571 ",42.3,10.6,0.405,14.5,29.3,16.9,29.1,0.5,11.0,13.1
1003,2010,"Baldwin County, Alabama",…,…,12.4,87.6,26.8,8.7,75.2," 	26,775 ",…,4.70,4.24,83.5,9.3,0.6,0.7,1.4,4.4,20.2,5.4," 	182,265 ",43.0,12.2,0.439,18.8,31.5,17.6,26.9,1.0,12.5,10.6
1005,2010,"Barbour County, Alabama",…,…,28.1,71.9,13.5,6.0,69.0," 	20,335 ",…,2.70,2.34,46.8,46.7,0.2,0.4,0.9,5.1,37.1,20.2," 	27,457 ",32.5,25.0,0.464,33.9,26.6,15.7,21.3,1.9,8.4,26.1
1007,2010,"Bibb County, Alabama",…,…,25.5,74.5,10.0,2.6,65.2," 	26,902 ",…,2.15,4.28,75.0,21.9,0.3,0.1,0.9,1.8,24.0,11.3," 	22,915 ",20.9,12.6,0.411,18.4,20.1,13.2,22.9,0.6,18.0,25.3
1009,2010,"Blount County, Alabama",…,…,25.3,74.7,12.5,4.2,72.9," 	28,186 ",…,3.07,4.60,88.9,1.3,0.5,0.2,1.1,8.1,21.2,10.9," 	57,322 ",29.0,13.4,0.422,18.2,24.7,16.0,25.6,1.3,14.5,17.9
1011,2010,"Bullock County, Alabama",…,…,25.3,74.7,12.0,3.7,67.8," 	21,267 ",…,2.54,2.65,21.9,70.0,0.2,0.2,0.6,7.1,51.5,17.0," 	10,914 ",51.6,25.3,0.533,48.8,21.2,15.5,24.3,5.2,6.6,27.2
1013,2010,"Butler County, Alabama",…,…,25.2,74.8,11.0,3.2,74.6," 	22,073 ",…,3.12,2.90,54.1,43.2,0.3,0.8,0.7,0.9,33.0,22.7," 	20,947 ",34.0,25.0,0.463,32.5,22.2,17.8,26.1,2.0,9.3,22.7
1015,2010,"Calhoun County, Alabama",…,…,21.5,78.5,16.1,6.4,74.3," 	24,098 ",…,3.63,3.51,73.6,20.4,0.4,0.7,1.6,3.3,30.6,10.9," 	118,572 ",37.7,19.5,0.453,26.8,27.7,16.1,23.7,0.5,11.4,20.6
1017,2010,"Chambers County, Alabama",…,…,28.2,71.8,10.8,3.7,75.5," 	22,715 ",…,3.10,3.10,58.1,38.6,0.2,0.5,1.0,1.6,35.0,15.7," 	34,215 ",63.2,20.3,0.425,30.2,23.5,14.0,25.7,0.5,13.3,23.0
1019,2010,"Cherokee County, Alabama",…,…,26.6,73.4,10.5,4.2,67.7," 	26,873 ",…,2.43,4.27,92.1,4.6,0.5,0.2,1.4,1.2,22.8,9.4," 	25,989 ",24.2,17.6,0.439,27.3,25.2,15.2,20.2,0.9,13.1,25.5
1021,2010,"Chilton County, Alabama",…,…,24.1,75.9,12.2,4.8,69.0," 	27,134 ",…,2.76,4.34,81.1,9.6,0.3,0.3,0.9,7.8,29.3,11.2," 	43,643 ",42.1,18.4,0.451,27.2,23.3,14.7,22.6,0.9,18.3,20.1
1023,2010,"Choctaw County, Alabama",…,…,28.9,71.1,10.9,4.1,79.9," 	23,074 ",…,3.50,3.21,55.6,43.2,0.1,0.1,0.5,0.5,19.7,19.3," 	13,859 ",56.9,18.7,0.457,24.6,29.5,10.3,21.0,2.9,17.8,18.4
1025,2010,"Clarke County, Alabama",…,…,23.9,76.1,13.5,4.9,76.3," 	27,195 ",…,3.53,4.35,54.0,43.7,0.4,0.3,0.7,1.0,34.9,24.1," 	25,833 ",46.5,29.2,0.523,37.0,28.0,15.0,20.1,2.1,11.8,23.1
1027,2010,"Clay County, Alabama",…,…,28.6,71.4,9.5,3.1,74.4," 	27,343 ",…,2.88,4.39,80.3,14.7,0.4,0.2,1.6,2.9,29.1,15.4," 	13,932 ",55.3,18.8,0.421,21.1,23.6,11.7,18.6,3.0,14.2,29.0
1029,2010,"Cleburne County, Alabama",…,…,29.7,70.3,8.4,3.7,73.0," 	22,130 ",…,2.67,2.92,93.2,3.3,0.3,0.2,0.9,2.1,15.7,13.7," 	14,972 ",58.7,17.1,0.424,24.0,24.7,15.2,18.4,2.5,18.1,21.2
1031,2010,"Coffee County, Alabama",…,…,20.7,79.3,22.1,8.5,70.9," 	26,565 ",…,3.70,4.19,72.3,16.5,1.2,1.3,2.3,6.4,27.2,13.4," 	49,948 ",30.8,17.2,0.452,26.4,32.3,13.7,24.0,2.3,12.4,15.3
1033,2010,"Colbert County, Alabama",…,…,19.9,80.1,16.4,5.9,76.0," 	26,020 ",…,3.85,4.04,79.6,16.0,0.5,0.4,1.5,2.0,31.3,8.6," 	54,428 ",30.9,15.7,0.435,24.2,27.4,14.9,27.0,0.7,11.0,19.0
1035,2010,"Conecuh County, Alabama",…,…,28.7,71.3,9.7,4.3,73.0," 	23,109 ",…,2.81,3.22,51.1,46.3,0.3,0.1,0.9,1.2,49.2,17.6," 	13,228 ",32.5,30.6,0.484,48.6,21.4,15.0,27.6,1.4,11.7,22.8
1037,2010,"Coosa County, Alabama",…,…,26.9,73.1,10.6,4.8,71.2," 	23,676 ",…,2.78,3.39,65.9,30.8,0.3,0.1,0.8,2.0,26.3,14.2," 	11,539 ",25.6,16.0,0.443,20.6,21.7,18.4,19.8,1.3,12.1,26.6
